# Card Name;Card Number-Rarity;Side;Neo-Standard Class;Type;Color;Traits;Level;Cost;Power;Trigger;Soul;Product;Own
《Watch Witch》 Lime Bell;AW/S43-E033-R|AW/S43-E033S-SR;Schwarz;Accel・World;Character;Green;Avatar/Time;1;0;4000;;1;Accel・World -Infinite Burst-;0
3D Icon;AW/S43-E025-U;Schwarz;Accel・World;Event;Yellow;3;3;;Accel・World -Infinite Burst-;0
5th Generation Chrome Disaster;AW/S18-E073-C;Schwarz;Accel・World;Character;Red;Avatar;1;0;5500;;1;Accel・World;0
A Feeling Never Felt Before;AW/S18-E028-CC;Schwarz;Accel・World;Climax;Yellow;Soul/Soul;Accel・World;0
A Scene in the Summer, Kuroyukihime;AW/S43-E014-U;Schwarz;Accel・World;Character;Yellow;Student Council/Net;2;1;2500;Soul;1;Accel・World -Infinite Burst-;0
A Scene in the Summer, Niko;AW/S43-E054-RR|AW/S43-E054SP-SP;Schwarz;Accel・World;Character;Red;Net;3;2;9500;Soul;2;Accel・World -Infinite Burst-;0
A Scene in the Summer, Pado;AW/S43-E060-R;Schwarz;Accel・World;Character;Red;Net/Maid;2;1;5500;Soul;1;Accel・World -Infinite Burst-;0
A.C.P.U.! FREEZE!;NIK/S117-E115-CR|NIK/S117-E115R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Blue;Soul/Gate;Booster Pack GODDESS OF VICTORY: NIKKE;0
Acrimonious Advice, Metatron;AW/S43-E017-C;Schwarz;Accel・World;Character;Yellow;Being/Net;0;0;500;;1;Accel・World -Infinite Burst-;0
Acting on Volition, Black Lotus;AW/S43-E023-C;Schwarz;Accel・World;Character;Yellow;Avatar/Weapon;2;1;7000;Soul;1;Accel・World -Infinite Burst-;0
Akira Himi;AW/S43-E081-R|AW/S43-E081S-SR;Schwarz;Accel・World;Character;Blue;Net/Glasses;1;0;4500;;1;Accel・World -Infinite Burst-;0
Alice: Sweet Home;NIK/S117-E069-U|NIK/S117-E069S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Unlimited;0;0;1500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Amateur Burst Linker, Silver Crow;AW/S18-E011-U;Schwarz;Accel・World;Character;Yellow;Avatar;0;0;2000;;1;Accel・World;0
Angel Mode, Niko;AW/S18-E065-U;Schwarz;Accel・World;Character;Red;Net;1;1;6000;;1;Accel・World;0
Angelic Smile, Dorothy;NIK/S117-TE17-TD|NIK/S117-TE17R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Inherit;1;0;4000;;1;Trial Deck GODDESS OF VICTORY: NIKKE;4
Anis: Sparkling Summer;NIK/S117-E002-RR|NIK/S117-E002EX-SEC+|NIK/S117-E002S-SR|NIK/S117-E002SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Counters;1;0;3500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Anne: Miracle Fairy;NIK/S117-E034-R|NIK/S117-E034S-SR|NIK/S117-E034SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Recall & Release;0;0;1000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Apology Ice Cream, Chiyuri;AW/S18-E034-R;Schwarz;Accel・World;Character;Green;Sports/Net;0;0;2000;;1;Accel・World;0
Ardor Maiden;AW/S43-E055-RR|AW/S43-E055R-RRR;Schwarz;Accel・World;Character;Red;Avatar/Shrine Maiden;3;2;11000;Soul;2;Accel・World -Infinite Burst-;0
Armed to the Teeth, Haruyuki;AW/S43-E021-C;Schwarz;Accel・World;Character;Yellow;Avatar/Animal;0;0;2500;;1;Accel・World -Infinite Burst-;0
Armor of Calamity;AW/S18-E077-U;Schwarz;Accel・World;Event;Red;1;1;;Accel・World;0
Armor Up Command, Scarlet Rain;AW/S43-E067-U;Schwarz;Accel・World;Character;Red;Avatar/Weapon;2;1;7000;Soul;1;Accel・World -Infinite Burst-;0
Ash Roller;AW/S18-E040-U;Schwarz;Accel・World;Character;Green;Avatar/Bike;0;0;2500;;1;Accel・World;0
Ash's Teacher, Sky Raker;AW/S18-E089-U;Schwarz;Accel・World;Character;Blue;Avatar;2;1;8000;Soul;1;Accel・World;0
Bad at Cooking, Kuroyukihime;AW/S43-E013-U;Schwarz;Accel・World;Character;Yellow;Student Council/Net;1;1;3500;Soul;1;Accel・World -Infinite Burst-;0
Battle at the Jingu, Ardor Maiden;AW/S43-E062-U;Schwarz;Accel・World;Character;Red;Avatar/Shrine Maiden;0;0;1000;;1;Accel・World -Infinite Burst-;0
Battle at the Jingu, Sky Raker;AW/S43-E094-C;Schwarz;Accel・World;Character;Blue;Avatar;2;1;2500;Soul;1;Accel・World -Infinite Burst-;0
Beacon of Counterattack, Black Lotus;AW/S43-E010-U;Schwarz;Accel・World;Character;Yellow;Avatar/Weapon;0;0;1500;;1;Accel・World -Infinite Burst-;0
Behold My Masterpiece!;BD/WE34-TE07-TD;Weiβ;BanG Dream!;Climax;Yellow;Soul/Return;BanG Dream! Girls Band Party [Morfonica];2
Betrayal;AW/S18-E025-U;Schwarz;Accel・World;Event;Yellow;1;1;;Accel・World;0
Betrayer, Lime Bell;AW/S18-E042-U;Schwarz;Accel・World;Character;Green;Avatar/Time;2;2;9500;Soul;2;Accel・World;0
Birds of a Feather, Takumu & Haruyuki;AW/S43-E093-C;Schwarz;Accel・World;Character;Blue;Sports/Net;1;1;7000;;1;Accel・World -Infinite Burst-;0
Black Lotus Facing a Crossroad Duel;AW/S18-E010-U;Schwarz;Accel・World;Character;Yellow;Avatar/Weapon;0;0;2000;;1;Accel・World;0
Black Lotus;AW/S18-E009-R|AW/S18-E009R-RRR;Schwarz;Accel・World;Character;Yellow;Avatar/Weapon;3;2;10000;Soul;2;Accel・World;0
Black Repercussions;AW/S18-E079-CC;Schwarz;Accel・World;Climax;Red;Soul/Soul;Accel・World;0
Blanc: White Rabbit;NIK/S117-E037-R|NIK/S117-E037S-SR|NIK/S117-PE05-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/777;1;0;4500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
Blue Knight;AW/S43-E084-U;Schwarz;Accel・World;Character;Blue;Avatar/Weapon;2;1;7500;Soul;1;Accel・World -Infinite Burst-;0
BLUEWATER ISLAND;NIK/S117-E057-CR|NIK/S117-E057R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Green;Pool;Booster Pack GODDESS OF VICTORY: NIKKE;1
Bond of the 《Accelerated World》, Kuroyukihime;AW/S43-E002-RR|AW/S43-E002SP-SP;Schwarz;Accel・World;Character;Yellow;Student Council/Avatar;3;2;9500;Soul;2;Accel・World -Infinite Burst-;0
BOW-WOW PARADISE;NIK/S117-E084-CR|NIK/S117-E084R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Red;Soul/Standby;Booster Pack GODDESS OF VICTORY: NIKKE;1
Bright and Cheerful, Chiyuri;AW/S18-E046-C;Schwarz;Accel・World;Character;Green;Sports/Net;1;0;5000;;1;Accel・World;0
Bullied Kid, Haruyuki;AW/S18-E020-C;Schwarz;Accel・World;Character;Yellow;Net;1;0;5500;;1;Accel・World;0
Bunny X 777;NIK/S117-E056-CR|NIK/S117-E056EX-RRR+|NIK/S117-E056R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Green;Treasure;Booster Pack GODDESS OF VICTORY: NIKKE;1
Calm Smile, Fuko;AW/S18-E083-R|AW/S18-E083S-SR;Schwarz;Accel・World;Character;Blue;Net;0;0;3500;;1;Accel・World;0
Calming Sight, Niko & Pado;AW/S43-E058-R|AW/S43-E058S-SR;Schwarz;Accel・World;Character;Red;Net/Maid;1;0;3500;;1;Accel・World -Infinite Burst-;0
Cat-like Behavior, Chiyuri;AW/S43-E037-U;Schwarz;Accel・World;Character;Green;Avatar/Animal;1;0;4500;;1;Accel・World -Infinite Burst-;0
Challenging a Formidable Foe, Silver Crow;AW/S18-E007-R;Schwarz;Accel・World;Character;Yellow;Avatar;2;1;8000;Soul;1;Accel・World;0
Changing Clothes, Fuko;AW/S43-E086-U;Schwarz;Accel・World;Character;Blue;Net;0;0;2500;;1;Accel・World -Infinite Burst-;0
Chatterbox, Niko;AW/S43-E069-C;Schwarz;Accel・World;Character;Red;Net;0;0;2000;;1;Accel・World -Infinite Burst-;0
CHERRY BLOSSOM;NIK/S117-E082-CR|NIK/S117-E082R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Red;Soul/Standby;Booster Pack GODDESS OF VICTORY: NIKKE;0
Chiyuri Kurashima;AW/S18-E037-R|AW/S18-E037SP-SP;Schwarz;Accel・World;Character;Green;Sports/Net;3;2;10000;Soul;2;Accel・World;0
Chiyuri's Tears;AW/S18-E053-CR;Schwarz;Accel・World;Climax;Green;Soul/Soul;Accel・World;0
Choir Chime;AW/S18-E052-U;Schwarz;Accel・World;Event;Green;1;2;;Accel・World;0
Citron Call;AW/S18-E054-CC;Schwarz;Accel・World;Climax;Green;Treasure;Accel・World;0
Citron Call;AW/S43-E052-CC;Schwarz;Accel・World;Climax;Green;Pool;Accel・World -Infinite Burst-;0
Class Clown, Anis;NIK/S117-E016-U|NIK/S117-E016S-SR|NIK/S117-PE04-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Counters;2;1;7000;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Close Friend Going Out-of-control, Scarlet Rain;AW/S18-E072-C;Schwarz;Accel・World;Character;Red;Avatar/Weapon;1;0;5000;;1;Accel・World;0
Coin Rush's Poster Girl, Blanc;NIK/S117-TE03-TD|NIK/S117-TE03R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/777;0;0;1000;;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
Coin Rush's Poster Girl, Noir;NIK/S117-TE06-TD|NIK/S117-TE06R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/777;0;0;3000;;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
Combination?;AW/S43-E099-CC;Schwarz;Accel・World;Climax;Blue;Draw;Accel・World -Infinite Burst-;0
Competitive, Scarlet Rain;AW/S43-E061-R|AW/S43-E061S-SR;Schwarz;Accel・World;Character;Red;Avatar/Weapon;3;2;8500;Soul;2;Accel・World -Infinite Burst-;0
Cooking with a Smile, Niko;AW/S43-E070-C;Schwarz;Accel・World;Character;Red;Net;0;0;2500;;1;Accel・World -Infinite Burst-;0
Cool Vibe, Pado;AW/S43-E066-U;Schwarz;Accel・World;Character;Red;Net/Maid;1;1;5500;;1;Accel・World -Infinite Burst-;0
Cornered Silver Crow;AW/S18-E001-RR|AW/S18-E001S-SR;Schwarz;Accel・World;Character;Yellow;Avatar;0;0;1500;;1;Accel・World;0
Crimson Kingbolt;AW/S18-E068-C;Schwarz;Accel・World;Character;Red;Avatar/Mecha;0;0;1000;;1;Accel・World;0
Cute Cousin!? Niko;AW/S18-E059-R|AW/S18-E059R-RRR;Schwarz;Accel・World;Character;Red;Net;0;0;1500;;1;Accel・World;0
Cyan Pile Becoming a Shield;AW/S43-E092-C;Schwarz;Accel・World;Character;Blue;Avatar/Weapon;0;0;3500;;1;Accel・World -Infinite Burst-;0
Cyan Pile;AW/S18-E084-R;Schwarz;Accel・World;Character;Blue;Avatar/Weapon;1;0;5500;;1;Accel・World;0
Dangerous Driving;AW/S43-E074-C;Schwarz;Accel・World;Event;Red;1;1;;Accel・World -Infinite Burst-;0
Darkness of the Heart, Silver Crow;AW/S18-E066;Schwarz;Accel・World;Character;Red;Avatar;1;1;6500;;1;Accel・World;0
DAZZLING CUPID;NIK/S117-E027-CR|NIK/S117-E027R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Yellow;Choice;Booster Pack GODDESS OF VICTORY: NIKKE;0
Death By Piercing;AW/S18-E029-CC;Schwarz;Accel・World;Climax;Yellow;Soul/Return;Accel・World;0
Demonic Commandeer;AW/S18-E055-CC;Schwarz;Accel・World;Climax;Green;Soul/Soul;Accel・World;0
Disc-shaped Enemy;AW/S43-E042-C;Schwarz;Accel・World;Character;Green;Enemy;0;0;1500;;1;Accel・World -Infinite Burst-;0
Dorothy: Nostalgia;NIK/S117-E101-U|NIK/S117-E101S-SR|NIK/S117-PE10-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Inherit;2;1;2500;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
D-OUTSIDERS;NIK/S117-E028-CR|NIK/S117-E028R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Yellow;Soul/Shot;Booster Pack GODDESS OF VICTORY: NIKKE;1
Dress Fluttering in the Wind, Kuroyukihime;AW/S43-E006-R;Schwarz;Accel・World;Character;Yellow;Student Council/Net;1;0;4500;;1;Accel・World -Infinite Burst-;0
Driving, Scarlet Rain;AW/S43-E056-R;Schwarz;Accel・World;Character;Red;Avatar/Weapon;0;0;1500;;1;Accel・World -Infinite Burst-;0
Dual Flight;AW/S43-E028-CC;Schwarz;Accel・World;Climax;Yellow;Soul/Soul;Accel・World -Infinite Burst-;0
Dusk Taker;AW/S18-E041-U;Schwarz;Accel・World;Character;Green;Avatar/Weapon;1;1;6500;;1;Accel・World;0
Emotional Scarlet Rain;AW/S18-E058-R;Schwarz;Accel・World;Character;Red;Avatar/Weapon;0;0;1000;;1;Accel・World;0
Enforced Logout, Niko;AW/S43-E068-C;Schwarz;Accel・World;Character;Red;Net;0;0;1500;;1;Accel・World -Infinite Burst-;0
Enormous Klutz, Haruyuki;AW/S18-E021-C;Schwarz;Accel・World;Character;Yellow;Avatar/Animal;1;1;2000;Soul;1;Accel・World;0
Executing the Plan, Blood Leopard;AW/S43-E063-U;Schwarz;Accel・World;Character;Red;Avatar;0;0;2500;;1;Accel・World -Infinite Burst-;0
Famous 《Healer》 Skill;AW/S43-E049-U;Schwarz;Accel・World;Event;Green;2;2;;Accel・World -Infinite Burst-;0
Fang on the Battlefield, Red Hood;NIK/S117-TE19-TD|NIK/S117-TE19R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Goddess;1;1;5500;;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
FIRST AFFECTION;NIK/S117-E081-CR|NIK/S117-E081R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Red;Comeback;Booster Pack GODDESS OF VICTORY: NIKKE;0
Flame Torrents;AW/S43-E077-CC;Schwarz;Accel・World;Climax;Red;Comeback;Accel・World -Infinite Burst-;0
Forced Transition;AW/S18-E098-U;Schwarz;Accel・World;Event;Blue;2;2;;Accel・World;0
Former Ally, Sky Raker;AW/S18-E086-U;Schwarz;Accel・World;Character;Blue;Avatar;0;0;500;;1;Accel・World;0
Fuko Kurasaki;AW/S18-E085-R|AW/S18-E085SP-SP;Schwarz;Accel・World;Character;Blue;Net;3;2;10000;Soul;2;Accel・World;0
Full of Vigor, Chiyuri;AW/S43-E031-RR|AW/S43-E031SP-SP;Schwarz;Accel・World;Character;Green;Avatar/Animal;0;0;2000;;1;Accel・World -Infinite Burst-;0
Gale Thruster;AW/S18-E026-U;Schwarz;Accel・World;Event;Yellow;2;0;;Accel・World;0
Gale Thruster;AW/S43-097-C;Schwarz;Accel・World;Event;Blue;2;1;;Accel・World -Infinite Burst-;0
Girl Who Aimed for the Skies, Fuko;AW/S43-E080-R|AW/S43-E080S-SR;Schwarz;Accel・World;Character;Blue;Avatar;0;0;2000;;1;Accel・World -Infinite Burst-;0
Glasses Character, Takumu;AW/S18-E094-C;Schwarz;Accel・World;Character;Blue;Sports/Net;2;1;8000;Soul;1;Accel・World;0
Gloomy Countenance, Kuroyukihime;AW/S43-E001-RR|AW/S43-E001R-RRR;Schwarz;Accel・World;Character;Yellow;Student Council/Avatar;0;0;1500;;1;Accel・World -Infinite Burst-;0
Goddess of Night, Nyx;AW/S43-E040-U;Schwarz;Accel・World;Character;Green;Enemy;3;3;12000;Soul;2;Accel・World -Infinite Burst-;0
GOLDEN SHIP;NIK/S117-E025-U|NIK/S117-E025S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Event;Yellow;3;4;;Booster Pack GODDESS OF VICTORY: NIKKE;0
Good at Cooking, Niko;AW/S18-E056-RR|AW/S18-E056S-SR;Schwarz;Accel・World;Character;Red;Net;2;1;5000;Soul;1;Accel・World;0
Good Rival, Ash Roller;AW/S18-E050-C;Schwarz;Accel・World;Character;Green;Avatar/Bike;2;1;8000;Soul;1;Accel・World;0
Green Grande;AW/S43-E034-R;Schwarz;Accel・World;Character;Green;Avatar/Shield;1;0;4000;;1;Accel・World -Infinite Burst-;0
Hailstorm Domination;AW/S18-E078-CR;Schwarz;Accel・World;Climax;Red;Soul/Soul;Accel・World;0
Having Fun in the Summer;AW/S43-E075-CR;Schwarz;Accel・World;Climax;Red;Comeback;Accel・World -Infinite Burst-;0
Heart Race in the Bath, Niko;AW/S18-E064-U;Schwarz;Accel・World;Character;Red;Net;1;0;6500;;1;Accel・World;0
Heat Blast Saturation;AW/S43-E076-CC;Schwarz;Accel・World;Climax;Red;Soul/Soul;Accel・World -Infinite Burst-;0
Helm: Aquamarine;NIK/S117-E008-R|NIK/S117-E008S-SR|NIK/S117-E008SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Aegis;1;1;3000;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Hermit, Sky Raker;AW/S18-E081-RR;Schwarz;Accel・World;Character;Blue;Avatar;0;0;1000;;1;Accel・World;0
Holy Prayer, Rapunzel;NIK/S117-TE13-TD|NIK/S117-TE13R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Pioneer;0;0;1000;;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
Hometown Is Shibuya, Ash Roller;AW/S43-E041-C;Schwarz;Accel・World;Character;Green;Avatar/Bike;0;0;1000;;1;Accel・World -Infinite Burst-;0
Honed Sword Skills, Scarlet;NIK/S117-TE14-TD|NIK/S117-TE14R-RRR|NIK/S117-TE14SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Pioneer;0;0;1500;;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
Humming, Lime Bell;AW/S43-E036-U;Schwarz;Accel・World;Character;Green;Avatar/Time;0;0;1000;;1;Accel・World -Infinite Burst-;0
Impeding Wall, Haruyuki;AW/S18-E024-C;Schwarz;Accel・World;Character;Yellow;Avatar/Animal;2;2;9000;Soul;2;Accel・World;0
In Pursuit of the End, Kuroyukihime;AW/S18-E005-R|AW/S18-E005S-SR;Schwarz;Accel・World;Character;Yellow;Student Council/Avatar;1;0;4500;;1;Accel・World;0
In the Heat of Battle, Utai;AW/S43-E072-C;Schwarz;Accel・World;Character;Red;Net/Animal;2;1;6500;Soul;1;Accel・World -Infinite Burst-;0
Incarnation;AW/S18-E099-CR;Schwarz;Accel・World;Climax;Blue;Draw;Accel・World;0
Incident at the Summer Festival;AW/S43-E026-C;Schwarz;Accel・World;Event;Yellow;1;1;;Accel・World -Infinite Burst-;0
Intelligent and Cute, Fuko;AW/S18-E088-U;Schwarz;Accel・World;Character;Blue;Net;1;0;5000;;1;Accel・World;0
Intent-filled Eyes, Fuko;AW/S43-E079-RR|AW/S43-E079SP-SP;Schwarz;Accel・World;Character;Blue;Net;0;0;1000;;1;Accel・World -Infinite Burst-;0
Intimate Relationship, Kuroyukihime;AW/S18-E004-R|AW/S18-E004S-SR;Schwarz;Accel・World;Character;Yellow;Student Council/Net;0;0;500;;1;Accel・World;0
Invincible;AW/S18-E076-U;Schwarz;Accel・World;Event;Red;1;0;;Accel・World;0
Judgement Blow;AW/S18-E080-CC;Schwarz;Accel・World;Climax;Red;Comeback;Accel・World;0
Kendo Club, Takumu;AW/S18-E082-RR;Schwarz;Accel・World;Character;Blue;Sports/Net;1;1;6000;;1;Accel・World;0
KILL THE LORD;NIK/S117-E054-U|NIK/S117-E054S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Event;Green;1;0;;Booster Pack GODDESS OF VICTORY: NIKKE;2
King's Return, Black Lotus;AW/S18-E018-C;Schwarz;Accel・World;Character;Yellow;Avatar/Weapon;0;0;2500;;1;Accel・World;0
Knight of the《Black King》;AW/S18-E030-CC;Schwarz;Accel・World;Climax;Yellow;Soul/Shot;Accel・World;0
Kuroyukihime;AW/S18-E002-RR|AW/S18-E002SP-SP;Schwarz;Accel・World;Character;Yellow;Student Council/Avatar;3;2;10000;Soul;2;Accel・World;0
Lightning Cyan Spike;AW/S18-E100-CC;Schwarz;Accel・World;Climax;Blue;Soul/Soul;Accel・World;0
Lightning Cyan Spike;AW/S43-E100-CC;Schwarz;Accel・World;Climax;Blue;Soul/Soul;Accel・World -Infinite Burst-;0
Lime Bell;AW/S18-E038-U;Schwarz;Accel・World;Character;Green;Avatar/Time;0;0;2000;;1;Accel・World;0
Looking Flushed After a Bath, Kuroyukihime;AW/S43-E009-U;Schwarz;Accel・World;Character;Yellow;Student Council/Net;0;0;1500;;1;Accel・World -Infinite Burst-;0
Lovable Charm, Chiyuri;AW/S18-E049-C;Schwarz;Accel・World;Character;Green;Avatar/Animal;2;1;2500;Soul;1;Accel・World;0
Ludmilla: Winter Owner;NIK/S117-E063-R|NIK/S117-E063S-SR|NIK/S117-E063SP-SP|NIK/S117-E063SSP-SSP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Unlimited;2;1;4000;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
MAID IN VALENTINE;NIK/S117-E114-CR|NIK/S117-E114R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Blue;Soul/Gate;Booster Pack GODDESS OF VICTORY: NIKKE;0
Maid of Nerima, Pard;AW/S18-E069-C;Schwarz;Accel・World;Character;Red;Net/Maid;0;0;1000;;1;Accel・World;0
Maiden in Love, Kuroyukihime;AW/S18-E006-R|AW/S18-E006R-RRR;Schwarz;Accel・World;Character;Yellow;Student Council/Avatar;1;1;2500;Soul;1;Accel・World;0
Mana Itosu;AW/S18-E090-C;Schwarz;Accel・World;Character;Blue;Sports/Net;0;0;2500;;1;Accel・World;0
Manly Skull Mask, Ash Roller;AW/S18-E047-C;Schwarz;Accel・World;Character;Green;Avatar/Bike;1;0;5000;;1;Accel・World;0
Marker of Mortification;AW/S43-E096-U;Schwarz;Accel・World;Event;Blue;2;0;;Accel・World -Infinite Burst-;0
Mary: Bay Goddess;NIK/S117-E039-R|NIK/S117-E039S-SR|NIK/S117-E039SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Seraphim;2;1;5500;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Matsunoki Elementary School, Utai;AW/S43-E065-U;Schwarz;Accel・World;Character;Red;Net/Animal;1;0;5000;;1;Accel・World -Infinite Burst-;0
Megumi Wakamiya;AW/S18-E070-C;Schwarz;Accel・World;Character;Red;Student Council/Net;0;0;1500;;1;Accel・World;0
Melee Combat Form, Aqua Current;AW/S43-E088-U;Schwarz;Accel・World;Character;Blue;Avatar/Water;3;2;10000;Soul;2;Accel・World -Infinite Burst-;0
Mica: Snow Buddy;NIK/S117-E006-R|NIK/S117-E006S-SR|NIK/S117-E006SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/The Carronades;0;0;1500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Mini Chiyuri;AW/S43-E102-PR;Schwarz;Accel・World;Character;Green;Avatar/Animal;0;0;2000;;1;Accel・World -Infinite Burst-;0
Mini Fuko;AW/S43-E104-PR;Schwarz;Accel・World;Character;Blue;Net;1;0;2000;;1;Accel・World -Infinite Burst-;0
Mini Kuroyukihime;AW/S43-E101-PR;Schwarz;Accel・World;Character;Yellow;Student Council/Avatar;1;1;6000;;1;Accel・World -Infinite Burst-;0
Mini Niko;AW/S43-E103-PR;Schwarz;Accel・World;Character;Red;Net;1;0;1500;;1;Accel・World -Infinite Burst-;0
MIRACLE SNOW;NIK/S117-E055-CR|NIK/S117-E055R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Green;Treasure;Booster Pack GODDESS OF VICTORY: NIKKE;0
Modernia: First Affection;NIK/S117-E059-RR|NIK/S117-E059EX-SEC+|NIK/S117-E059S-SR|NIK/S117-E059SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Heretic;1;0;2000;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Morfonica;BD/WE34-TE20-TD;Weiβ;BanG Dream!;Climax;Blue;Soul/Soul;BanG Dream! Girls Band Party [Morfonica];2
Nega Nebulas;AW/S43-E027-CR;Schwarz;Accel・World;Climax;Yellow;Soul/Return;Accel・World -Infinite Burst-;0
Nemesis & Thanatos;AW/S43-E047-C;Schwarz;Accel・World;Character;Green;Enemy;2;1;1500;Soul;1;Accel・World -Infinite Burst-;0
Neon: Blue Ocean;NIK/S117-E023-C|NIK/S117-E023S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Counters;2;1;1000;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
New Ally, Takumu;AW/S18-E091-C;Schwarz;Accel・World;Character;Blue;Sports/Net;0;0;3000;;1;Accel・World;0
NEW YEAR, NEW SWORD;NIK/S117-E113-CR|NIK/S117-E113R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Blue;Soul/Gate;Booster Pack GODDESS OF VICTORY: NIKKE;0
Niko Staying Over;AW/S18-E063-U;Schwarz;Accel・World;Character;Red;Net;0;0;1000;;1;Accel・World;0
NO CALLER ID;NIK/S117-TE12-TD|NIK/S117-TE12R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Yellow;Choice;Trial Deck GODDESS OF VICTORY: NIKKE;4
Noir: Black Rabbit;NIK/S117-E038-R|NIK/S117-E038S-SR|NIK/S117-PE06-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/777;2;1;5000;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Noise: Classic Diva;NIK/S117-E064-R|NIK/S117-E064S-SR|NIK/S117-E064SP-SP|NIK/S117-PE07-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Prima Donna;2;1;6500;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Nonchalant Talk, Chiyuri;AW/S18-E033-R|AW/S18-E033S-SR;Schwarz;Accel・World;Character;Green;Sports/Net;0;0;500;;1;Accel・World;0
Normal Camouflage;BD/WE34-TE18-TD;Weiβ;BanG Dream!;Event;Blue;1;0;;BanG Dream! Girls Band Party [Morfonica];2
Nox Core;AW/S43-E044-C;Schwarz;Accel・World;Character;Green;Enemy;1;0;2500;;1;Accel・World -Infinite Burst-;0
Nurturing Counsel, Kuroyukihime;AW/S43-E024-C;Schwarz;Accel・World;Character;Yellow;Student Council/Avatar;2;2;7500;Soul;2;Accel・World -Infinite Burst-;0
Nyx & Risa;AW/S43-E039-U;Schwarz;Accel・World;Character;Green;Enemy/Net;2;1;6500;Soul;1;Accel・World -Infinite Burst-;0
Older Brother's Punishment;AW/S43-E053-CC;Schwarz;Accel・World;Climax;Green;Soul/Soul;Accel・World -Infinite Burst-;0
One Who Never Looks Back, Ash Roller;AW/S43-E035-R;Schwarz;Accel・World;Character;Green;Avatar/Bike;2;1;7000;Soul;1;Accel・World -Infinite Burst-;0
